N           GPU(hist)    GPU        CPU
1000,       0.109,       0.107,     0.04,  
2000,       0.125,       0.109,     0.106,
3000,       0.148,       0.114,     0.203, 
4000,       0.160,       0.121,     0.35,
5000,       0.167,       0.119,     0.559,
6000,       0.172,       0.123,     0.788,
7000,       0.177,       0.125,     1.067,
8000,       0.178,       0.122,     1.39,
9000,       0.189,       0.124,     1.579,
10000 ,     0.313,       0.123,     2.146,
20000 ,     0.865,       0.151,     8.538,
30000 ,     1.812,       0.175,     19.28,
40000 ,     3.483,       0.206,     34.159,
50000 ,     4.635,       0.235,     53.45,
100000,     18.296,      0.492,     209.018,
200000,     72.183       1.323,
300000,                  2.562,
400000,                  4.267,
500000,                  6.422,
1000000,                23.949,
2000000,                92.308, 
